Timestamp,IP,username,version,task,lightweightmechanical,toughness,strengthstiffness,lowdensity,extremeenvironments,slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch,glasstransitiontemperaturetg,resistancetofracture,reinforcementarchitecture,fibermatrixinterface,polymermatrix,isprepared,crosslinkingdensity,heterogeneity,thechoiceandpreparationofreinforcement,morphology,microstructureofthereinforcementphase,layupandcuring,dispersion,aggregation,orientationofthereinforcement,postlayupannealingandaging,matrixreinforcementinterface,failuremode
11/1/2021 9:29:25,00.000.00.00,JonEmery,1,para,Property,Property,Property,Property,Structure,Property,Property,Processing,Property,Performance,Property,Property,Property,Processing,Property,Property,Property,Property,Structure,Property,Structure,Property,Performance,Structure,Processing
11/1/2021 13:41:39,00.000.00.00,JonEmery,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 9:33:38,00.000.00.00,JonEmery,1,SDC,,resistancetofracture,lightweightmechanical,lightweightmechanical,,extremeenvironments,lightweightmechanical,extremeenvironments resistancetofracture,,toughness,strengthstiffness,strengthstiffness,crosslinkingdensity,strengthstiffness,slowdegradationrateswhenexposedtoo2h2oandsalts,microstructureofthereinforcementphase heterogeneity,thermalexpansioncoefficientmismatch,glasstransitiontemperaturetg,aggregation microstructureofthereinforcementphase,slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch,glasstransitiontemperaturetg,matrixreinforcementinterface aggregation,failuremode,resistancetofracture
11/1/2021 13:15:01,00.000.00.00,WhitneyT,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:15:09,00.000.00.00,chris_h,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:15:12,00.000.00.00,AaronGeller,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:16:08,00.000.00.00,Alex,1,para,Performance,Property,Property,Property,Performance,Performance,Processing,Structure,Structure,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Property,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Structure
11/1/2021 13:16:09,00.000.00.00,JamesMale,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:17:18,00.000.00.00,BrandonO,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:17:35,00.000.00.00,Kuma,1,para,Performance,Property,Property,Property,Performance,Property,Structure,Structure,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Processing,Property
