Timestamp,IP,username,version,task,lightweightmechanical,toughness,strengthstiffness,lowdensity,extremeenvironments,slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch,glasstransitiontemperaturetg,resistancetofracture,reinforcementarchitecture,fibermatrixinterface,polymermatrix,isprepared,crosslinkingdensity,heterogeneity,thechoiceandpreparationofreinforcement,morphology,microstructureofthereinforcementphase,layupandcuring,dispersion,aggregation,orientationofthereinforcement,postlayupannealingandaging,matrixreinforcementinterface,failuremode
10/6/2021 10:49:24,00.000.00.00,AaronGeller0,1,para,Processing,Processing,Structure,Property,Processing,Processing,Processing,Structure,Performance,Property,Property,Processing,Property,Property,Structure,Performance,Property,Performance,Property,Processing,Property,Structure,Structure,Property,Structure
10/21/2021 01:38:11,00.000.00.00,AaronGeller0,2,para,Processing,Property,Structure,Property,Processing,Processing,Processing,Structure,Performance,Property,Property,Processing,Property,Property,Structure,Performance,Property,Performance,Property,Processing,Structure,Structure,Structure,Property,Structure
9/16/2021 13:47:48,00.000.00.00,AaronGeller1,2,para,Performance,Property,Structure,Property,Performance,Property,Structure,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
9/8/2021 11:02:08,00.000.00.00,AaronGeller2,2,para,Performance,Property,Structure,Property,Performance,Property,Structure,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller3,1,para,Processing,Property,Structure,Property,Property,Property,Structure,Property,Performance,Structure,Property,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Property,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller3,2,para,Performance,Property,Structure,Property,Property,Property,Structure,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller4,2,para,Performance,Property,Structure,Property,Property,Property,Structure,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller5,2,para,Performance,Property,Performance,Property,Property,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller6,2,para,Performance,Property,Performance,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
5/10/2021 10:54:53,00.000.00.00,AaronGeller7,2,para,Performance,Property,Performance,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller8,2,para,Performance,Property,Structure,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/14/2020 12:53:50,00.000.00.00,AaronGeller9,2,para,Performance,Property,Structure,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Structure,Structure,Property
12/16/2020 10:20:59,00.000.00.00,Answers,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Property,Structure,Structure,Structure,Property
3/4/2021 13:20:52,00.000.00.00,Answers,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Processing,Structure,Property
