groupname,paragraph,answersJSON
default,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]] and [[fiber/matrix interface]]. The [[polymer matrix]] [[is prepared]] by combining epoxy, crosslinker, and filler (as-needed), which controls the [[crosslinking density]] and [[heterogeneity]] within the matrix structure. [[The choice and preparation of reinforcement]] sets the [[morphology]] and [[microstructure of the reinforcement phase]]. The architecture of the reinforcement (and therefore, composite) is set during [[layup and curing]] and is defined by the [[dispersion]], [[aggregation]], and [[orientation of the reinforcement]]. [[Post-layup annealing and aging]] can improve the [[matrix/reinforcement interface]], and is critical to the mechanical properties, particularly the failure mode and toughness.","[{""groupname"":""default"",""task"":""para"",""lightweightmechanical"":""Performance"",""toughness"":""Property"",""lowdensity"":""Property"",""strengthstiffness"":""Property"",""extremeenvironments"":""Performance"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""Property"",""thermalexpansioncoefficientmismatch"":""Property"",""glasstransitiontemperaturetg"":""Property"",""resistancetofracture"":""Performance"",""failuremode"":""Property"",""reinforcementarchitecture"":""Structure"",""fibermatrixinterface"":""Structure"",""polymermatrix"":""Structure"",""isprepared"":""Processing"",""crosslinkingdensity"":""Structure"",""heterogeneity"":""Structure"",""thechoiceandpreparationofreinforcement"":""Processing"",""morphology"":""Structure"",""microstructureofthereinforcementphase"":""Structure"",""layupandcuring"":""Processing"",""dispersion"":""Structure"",""aggregation"":""Structure"",""orientationofthereinforcement"":""Structure"",""postlayupannealingandaging"":""Processing"",""matrixreinforcementinterface"":""Structure""},{""groupname"":""default"",""task"":""SDC"",""isprepared"":[""aggregation""],""thechoiceandpreparationofreinforcement"":[""reinforcementarchitecture"",""polymermatrix"",""microstructureofthereinforcementphase"",""orientationofthereinforcement"",""matrixreinforcementinterface""],""layupandcuring"":[""crosslinkingdensity"",""heterogeneity""],""postlayupannealingandaging"":[""fibermatrixinterface"",""morphology"",""dispersion""],""reinforcementarchitecture"":[""toughness"",""strengthstiffness"",""failuremode""],""fibermatrixinterface"":[""thermalexpansioncoefficientmismatch"",""glasstransitiontemperaturetg""],""polymermatrix"":[""lowdensity""],""crosslinkingdensity"":[""lowdensity""],""heterogeneity"":[""strengthstiffness""],""morphology"":[""toughness""],""microstructureofthereinforcementphase"":[""slowdegradationrateswhenexposedtoo2h2oandsalts""],""dispersion"":[""thermalexpansioncoefficientmismatch""],""aggregation"":[""toughness""],""orientationofthereinforcement"":[""toughness"",""strengthstiffness""],""matrixreinforcementinterface"":[""toughness"",""strengthstiffness""],""toughness"":[""lightweightmechanical"",""resistancetofracture""],""strengthstiffness"":[""lightweightmechanical"",""resistancetofracture""],""lowdensity"":[""lightweightmechanical""],""slowdegradationrateswhenexposedtoo2h2oandsalts"":[""extremeenvironments""],""thermalexpansioncoefficientmismatch"":[""extremeenvironments"",""resistancetofracture""],""glasstransitiontemperaturetg"":[""extremeenvironments""],""failuremode"":[""resistancetofracture""]}]"
foo,[[foo]] and also [[bar]].,"[{""groupname"":""foo"",""task"":""para"",""foo"":""Processing"",""bar"":""Structure""},{""groupname"":""foo"",""task"":""SDC""}]"
bar,"The [[greater the bar]] the [[more important the foo]]. Also, [[lorem ipsum]] dolor sit amet, [[consectetur]] adipiscing elit, sed do eiusmod tempor incididunt ut [[labore et dolore]] magna aliqua. Ut enim ad [[minim veniam]], quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea [[commodo consequat]]. Duis aute [[irure dolor]] in reprehenderit in [[voluptate velit]] esse [[cillum]] dolore eu fugiat nulla pariatur. Excepteur sint [[occaecat cupidatat]] non proident, sunt in culpa qui officia [[deserunt]] mollit anim id est [[laborum]].","[{""groupname"":""bar"",""task"":""para"",""greaterthebar"":""Processing"",""moreimportantthefoo"":""Structure"",""loremipsum"":""Processing"",""consectetur"":""Property"",""laboreetdolore"":""Processing"",""minimveniam"":""Property"",""commodoconsequat"":""Structure"",""iruredolor"":""Performance"",""voluptatevelit"":""Performance"",""cillum"":""Property"",""occaecatcupidatat"":""Structure"",""deserunt"":""Performance"",""laborum"":""Structure""},{""groupname"":""bar"",""task"":""SDC"",""greaterthebar"":[""moreimportantthefoo""],""loremipsum"":[""commodoconsequat""],""laboreetdolore"":[""commodoconsequat"",""occaecatcupidatat"",""laborum""],""moreimportantthefoo"":[""minimveniam""],""commodoconsequat"":[""consectetur""],""occaecatcupidatat"":[""cillum""],""laborum"":[""cillum""],""cillum"":[""voluptatevelit""],""minimveniam"":[""deserunt""],""consectetur"":[""iruredolor"",""voluptatevelit"",""deserunt""]}]"
testing,foo and [[bar]],
default1,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]].","[{""groupname"":""default1"",""task"":""para"",""lightweightmechanical"":""Processing"",""toughness"":""Processing"",""strengthstiffness"":""Structure"",""lowdensity"":""Structure"",""extremeenvironments"":""Property"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""Property"",""thermalexpansioncoefficientmismatch"":""Performance""},{""groupname"":""default1"",""task"":""SDC"",""lightweightmechanical"":[""strengthstiffness""],""toughness"":[""lowdensity""],""strengthstiffness"":[""slowdegradationrateswhenexposedtoo2h2oandsalts""],""lowdensity"":[""extremeenvironments""],""slowdegradationrateswhenexposedtoo2h2oandsalts"":[""thermalexpansioncoefficientmismatch""],""extremeenvironments"":[""thermalexpansioncoefficientmismatch""]}]"
default2,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Also a test for super scripts [[E=MC^{2}^]] and outside te^{up}^st_{down}_.","[{""groupname"":""default2"",""task"":""para"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""Structure"",""emc"":""Property"",""lowdensity"":""Property"",""lightweightmechanical"":""Processing"",""strengthstiffness"":""Performance"",""toughness"":""Structure"",""extremeenvironments"":""Performance""},{""groupname"":""default2"",""task"":""SDC"",""lightweightmechanical"":[""toughness""],""slowdegradationrateswhenexposedtoo2h2oandsalts"":[""lowdensity""],""toughness"":[""emc""],""emc"":[""strengthstiffness""],""lowdensity"":[""extremeenvironments""]}]"
default3,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]] and [[fiber/matrix interface]]. The [[polymer matrix]] [[is prepared]] by combining epoxy,architecture of the reinforcement (and therefore, composite) is set during [[layup and curing]] and is defined by the [[dispersion]], [[aggregation]], and [[orientation of the reinforcement]]. [[Post-layup annealing and aging]] can improve the [[matrix/reinforcement interface]], and is critical to the mechanical properties, particularly the failure mode and toughness. and [[this]]","[{""groupname"":""default3"",""task"":""para"",""lightweightmechanical"":""Processing"",""toughness"":""Structure"",""strengthstiffness"":""Processing"",""extremeenvironments"":""Structure"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""Structure"",""thermalexpansioncoefficientmismatch"":""Structure"",""glasstransitiontemperaturetg"":""Structure"",""resistancetofracture"":""Performance"",""failuremode"":""Performance"",""reinforcementarchitecture"":""Property"",""fibermatrixinterface"":""Performance"",""polymermatrix"":""Property"",""isprepared"":""Performance"",""layupandcuring"":""Performance"",""dispersion"":""Performance"",""aggregation"":""Property"",""orientationofthereinforcement"":""Performance"",""postlayupannealingandaging"":""Structure"",""matrixreinforcementinterface"":""Structure"",""this"":""Processing"",""lowdensity"":""Property""},{""groupname"":""default3"",""task"":""SDC"",""lightweightmechanical"":[""toughness"",""extremeenvironments""],""strengthstiffness"":[""slowdegradationrateswhenexposedtoo2h2oandsalts""],""this"":[""thermalexpansioncoefficientmismatch""],""thermalexpansioncoefficientmismatch"":[""reinforcementarchitecture""],""glasstransitiontemperaturetg"":[""polymermatrix""],""polymermatrix"":[""dispersion""],""reinforcementarchitecture"":[""fibermatrixinterface""],""lowdensity"":[""resistancetofracture""]}]"
blank,,
default4,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]] and [[fiber/matrix interface]] and [[foo]].","[{""groupname"":""default4"",""task"":""para"",""lightweightmechanical"":""processing"",""toughness"":""processing"",""strengthstiffness"":""structure"",""lowdensity"":""property"",""extremeenvironments"":""property"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""property"",""thermalexpansioncoefficientmismatch"":""performance"",""glasstransitiontemperaturetg"":""performance"",""resistancetofracture"":""structure"",""failuremode"":""property"",""reinforcementarchitecture"":""property"",""fibermatrixinterface"":""property"",""foo"":""structure""},{""groupname"":""default4"",""task"":""SDC"",""lightweightmechanical"":[""strengthstiffness"",""resistancetofracture""],""foo"":[""slowdegradationrateswhenexposedtoo2h2oandsalts""],""strengthstiffness"":[""extremeenvironments""],""resistancetofracture"":[""failuremode""],""slowdegradationrateswhenexposedtoo2h2oandsalts"":[""thermalexpansioncoefficientmismatch""],""failuremode"":[""glasstransitiontemperaturetg""],""reinforcementarchitecture"":[""thermalexpansioncoefficientmismatch""]}]"
Aluminum-CHiMaDExample,"An aluminum alloy is prepared by [[ingot metallurgy]].  The process begins with [[ingot refining]] then [[deoxidation]] and then [[ingot solidification]].  During ingot refining, deoxidation, and solidification, [[Fe and other impurities form coarse inclusion or “constituent” phases such as Al3Fe]].  In a final stage of solidification, [[finer scale “dispersoid” particles such as Al6Mn]] precipitate.  These continue to form during [[hot working]] of the ingot.  During subsequent [[solution treatment]] the dispersoids remain out of solution and pin grain boundaries.  The alloy is [[quenched]] from the solution treatment and then [[aged]] to [[precipitate Cu G-P zones]].  The solution treatment, quenching, and aging processing stages effect the [[final matrix]] composition.  Important properties governing alloy performance in service are the [[elastic modulus]], [[yield strength]], and [[fracture toughness]].  The modulus is determined by the final matrix composition, while the strength is determined by the G-P zone precipitation and [[grain size]].  Ductile fracture is controlled by primary void formation on the constituent particles as well as finer scale microvoid formation on the dispersoids.","[{""groupname"":""Aluminum-CHiMaDExample"",""task"":""para"",""ingotmetallurgy"":""processing"",""ingotrefining"":""processing"",""deoxidation"":""processing"",""ingotsolidification"":""processing"",""feandotherimpuritiesformcoarseinclusionorconstituentphasessuchasal3fe"":""structure"",""finerscaledispersoidparticlessuchasal6mn"":""structure"",""solutiontreatment"":""processing"",""hotworking"":""processing"",""quenched"":""processing"",""aged"":""processing"",""precipitatecugpzones"":""structure"",""finalmatrix"":""structure"",""elasticmodulus"":""property"",""yieldstrength"":""property"",""fracturetoughness"":""property"",""grainsize"":""structure""},{""groupname"":""Aluminum-CHiMaDExample"",""task"":""SDC""}]"
